"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\wvaug\OneDrive\Documents\Flutter Projects\qc_collegeandcareer\lib\calendar.dart", "Dart", 84, 0, 13, 97
"c:\Users\wvaug\OneDrive\Documents\Flutter Projects\qc_collegeandcareer\lib\event_widget.dart", "Dart", 14, 0, 3, 17
"c:\Users\wvaug\OneDrive\Documents\Flutter Projects\qc_collegeandcareer\lib\firebase.dart", "Dart", 50, 0, 9, 59
"c:\Users\wvaug\OneDrive\Documents\Flutter Projects\qc_collegeandcareer\lib\firebase_options.dart", "Dart", 66, 12, 6, 84
"c:\Users\wvaug\OneDrive\Documents\Flutter Projects\qc_collegeandcareer\lib\main.dart", "Dart", 42, 0, 11, 53
"c:\Users\wvaug\OneDrive\Documents\Flutter Projects\qc_collegeandcareer\lib\month\month_view.dart", "Dart", 0, 0, 3, 3
"c:\Users\wvaug\OneDrive\Documents\Flutter Projects\qc_collegeandcareer\lib\test.dart", "Dart", 0, 0, 1, 1
"Total", "-", 256, 12, 46, 314
